country,activity,injury,fatal
australia,surfing,puncture mark to left thumb,n
us virgin islands,snorkeling,left arm torn off in the attack below the elbow,y
new caledonia,scuba diving,injuries to upper limbs,n
usa,swimming,taken by shark body recovered with multiple injuries,y
usa,surfing,hand injury,n
usa,freeing trapped shark,bite wounds to thigh,n
australia,swimming,serious leg injuries,n
australia,swimming,not stated,y
australia,foil boarding,no injury to self,n
french polynesia,swimming,deep gash to bicep,n
usa,swimming,injuries to legs,n
usa,fishing,laceration on top and undermeath right foot,n
samoa,surfing,lacerations to right leg,n
columbia,swimming with sharks,severe hand injury,n
australia,fishingswimming,serious abdonminal injuries,n
australia,surfing,lacerations to calf,n
usa,swimming,leg and foot injury,n
costa rica,diving-tagging sharks,head face and arms,n
australia,surfing,both legs and arm severed,y
usa,snorkeling,bite to leg,n
usa,swimming,bite to leg,n
australia,surfing,none sustained board severly damaged,n
bahamas,spearfishing,severe injuries no detail,n
usa,fishing,laceration to right leg below the knee,n
australia,surfing,none sustained board severely damaged,n
puerto rico,wading,bite to thigh area,n
australia,kayaking,kayak badly damaged no injury to person,n
french polynesia,swimming,injuries to right forearm left hand and calf was missing,n
spain,swimming,gash to leg,n
canary islands,surfing hydrofoiling,lacerations to left leg above the knee,n
usa,diving,lacerations to right forearm,n
usa,surfing,lacerations to left foot,n
bahamas,spearfishing,lacerations to right arm,n
usa,fishing,injury to leg,n
usa,surfing,lacerations to right arm,n
south africa,fishing,mltiple injuries to body,y
australia,swimming,serious bites to r bicep r wrist and r leg,n
usa,swimming,lacerations to lower left foot and leg,n
usa,swimming,laceration to lower right leg,n
usa,swimming,laceration to lower right leg,n
usa,snorkeling,right hand almost torn off,n
usa,surfing,no injury,n
usa,swimming,gash to lower left leg,n
vanuatu,swimming,multiple injuries to body one hand and leg bitten off,y
australia,swimming,injury to thigh,n
jamaica,paddling,minor injuries to fingers of left hand,n
israel,diving,remains recovered several days after the attcks,y
mexico,rescuing female companion,victim drown and was scavenged by sharks,y
maldives,snorkeling,injuries to right shoulder,n
usa,undisclosed,injuries to right hand and arm,n
australia,swimming,bumping to the body,n
australia,surfing,missing body not recovered,y
australia,swimming,serious lacerations above right knee,n
australia,swimming,minor lacerations to left calf,n
philippines,scuba diving,both arms severed by sharks after drowning,y
australia,kayaking,none kayak badly damaged by shark,n
australia,fishing was pulled of boat by shark,body not recovered,y
australia,snorkeling,abdominal and leg injuries,n
bahamas,swimming,left foot injured,n
bahamas,swimming,severed archilles tendon artery severed nerves severed,n
turks and caicos,swimming,both hands bitten off and a bite to left thigh,n
australia,swimming,bites to arm and upper body,y
australia,bathing,minor bite to lower body,n
